,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,day_of_week_name
21626,QUEENS,103,False,40.65795792200005,-73.88266012399998,POINT (-73.88266012399998 40.657957922000044),2020-06-19 01:36:00+00:00,2020,6,01:36:00,Friday
21627,BROOKLYN,73,False,40.844139945000045,-73.90038861799998,POINT (-73.90038861799998 40.84413994500005),2020-07-15 17:54:00+00:00,2020,7,17:54:00,Wednesday
21628,MANHATTAN,25,False,40.83855090900005,-73.90939937399997,POINT (-73.90939937399997 40.83855090900005),2020-03-20 20:19:00+00:00,2020,3,20:19:00,Friday
21629,QUEENS,110,False,40.71926178300004,-73.93831327799995,POINT (-73.93831327799995 40.71926178300004),2020-12-05 23:35:00+00:00,2020,12,23:35:00,Saturday
21630,BROOKLYN,67,True,40.60666485500008,-73.75614960299998,POINT (-73.75614960299998 40.606664855000076),2020-05-13 20:24:00+00:00,2020,5,20:24:00,Wednesday
21631,QUEENS,113,False,40.668807953000055,-73.86741448999999,POINT (-73.86741448999999 40.668807953000055),2020-06-29 02:45:00+00:00,2020,6,02:45:00,Monday
21632,BROOKLYN,63,False,40.88907795500006,-73.86444348399993,POINT (-73.86444348399993 40.88907795500006),2020-06-25 03:12:00+00:00,2020,6,03:12:00,Thursday
21633,MANHATTAN,32,False,40.64498150400004,-74.07732129999994,POINT (-74.07732129999994 40.644981504000036),2020-04-25 00:55:00+00:00,2020,4,00:55:00,Saturday
21634,BROOKLYN,88,True,40.821472723000056,-73.90527847099996,POINT (-73.90527847099996 40.821472723000056),2020-05-30 02:30:00+00:00,2020,5,02:30:00,Saturday
21635,MANHATTAN,20,True,40.57482547700005,-73.99092660999997,POINT (-73.99092660999997 40.57482547700005),2020-09-02 20:57:00+00:00,2020,9,20:57:00,Wednesday
21636,QUEENS,103,False,40.66191338500005,-73.88022019899995,POINT (-73.88022019899995 40.66191338500005),2020-08-19 22:30:00+00:00,2020,8,22:30:00,Wednesday
21637,BRONX,42,True,40.670132766000044,-73.95527261499996,POINT (-73.95527261499996 40.670132766000044),2020-12-23 12:02:00+00:00,2020,12,12:02:00,Wednesday
21638,QUEENS,110,False,40.67423304000005,-73.93199920199999,POINT (-73.93199920199999 40.67423304000005),2020-04-06 15:00:00+00:00,2020,4,15:00:00,Monday
21639,BROOKLYN,81,False,40.82867545800008,-73.94398971599996,POINT (-73.94398971599996 40.82867545800008),2020-09-26 00:06:00+00:00,2020,9,00:06:00,Saturday
21640,BROOKLYN,77,False,40.809839071000056,-73.95141461099996,POINT (-73.95141461099996 40.809839071000056),2020-07-10 19:13:00+00:00,2020,7,19:13:00,Friday
21641,QUEENS,115,True,40.703366206000055,-73.81483667599997,POINT (-73.81483667599997 40.703366206000055),2020-01-13 03:51:00+00:00,2020,1,03:51:00,Monday
21642,BRONX,41,True,40.85026097600007,-73.88874043199996,POINT (-73.88874043199996 40.85026097600007),2020-09-04 21:30:00+00:00,2020,9,21:30:00,Friday
21643,BROOKLYN,73,False,40.87252706800007,-73.91227104199999,POINT (-73.912271042 40.87252706800007),2020-08-08 18:35:00+00:00,2020,8,18:35:00,Saturday
21644,MANHATTAN,32,True,40.815929553000046,-73.94516735699995,POINT (-73.94516735699995 40.815929553000046),2020-04-25 00:55:00+00:00,2020,4,00:55:00,Saturday
21645,BROOKLYN,71,False,40.69438617000004,-73.80376186099994,POINT (-73.80376186099994 40.69438617000004),2020-10-21 22:18:00+00:00,2020,10,22:18:00,Wednesday
21646,BROOKLYN,73,False,40.66629650100003,-73.95083788699996,POINT (-73.95083788699996 40.66629650100003),2020-07-20 02:10:00+00:00,2020,7,02:10:00,Monday
21647,MANHATTAN,32,False,40.815929553000046,-73.94516735699995,POINT (-73.94516735699995 40.815929553000046),2020-05-05 21:54:00+00:00,2020,5,21:54:00,Tuesday
21648,QUEENS,113,False,40.64831592000007,-73.89746290699998,POINT (-73.89746290699998 40.64831592000007),2020-09-12 20:40:00+00:00,2020,9,20:40:00,Saturday
21649,BROOKLYN,71,False,40.68808199500006,-73.91759789999998,POINT (-73.91759789999998 40.68808199500006),2020-07-15 02:10:00+00:00,2020,7,02:10:00,Wednesday
21650,BROOKLYN,79,False,40.65272464900005,-73.93150216299993,POINT (-73.93150216299993 40.65272464900005),2020-03-21 23:57:00+00:00,2020,3,23:57:00,Saturday
21651,BROOKLYN,77,False,40.85036729300003,-73.91725589399994,POINT (-73.91725589399994 40.85036729300003),2020-08-16 03:00:00+00:00,2020,8,03:00:00,Sunday
21652,BRONX,47,False,40.64886713300007,-73.95082189999994,POINT (-73.95082189999994 40.64886713300007),2020-04-30 23:20:00+00:00,2020,4,23:20:00,Thursday
21653,BROOKLYN,73,False,40.75945056700005,-73.933576266,POINT (-73.933576266 40.759450567000044),2020-09-27 15:07:00+00:00,2020,9,15:07:00,Sunday
21654,BROOKLYN,69,False,40.81854617100004,-73.90782610299993,POINT (-73.90782610299993 40.81854617100004),2020-05-01 09:00:00+00:00,2020,5,09:00:00,Friday
21655,MANHATTAN,34,True,40.65399938500008,-73.89636577299996,POINT (-73.89636577299996 40.65399938500008),2020-10-14 16:38:00+00:00,2020,10,16:38:00,Wednesday
21656,BRONX,50,False,40.67605159600004,-73.93461108799994,POINT (-73.93461108799994 40.676051596000036),2020-02-01 05:09:00+00:00,2020,2,05:09:00,Saturday
21657,BRONX,52,True,40.67970040800003,-73.77604736799998,POINT (-73.77604736799998 40.67970040800003),2020-11-17 02:25:00+00:00,2020,11,02:25:00,Tuesday
21658,STATEN ISLAND,120,False,40.64633820900008,-74.01083732399997,POINT (-74.01083732399997 40.64633820900008),2020-07-02 07:45:00+00:00,2020,7,07:45:00,Thursday
21659,BROOKLYN,73,False,40.80038048100005,-73.95078943299995,POINT (-73.95078943299995 40.80038048100005),2020-03-15 07:05:00+00:00,2020,3,07:05:00,Sunday
21660,QUEENS,102,True,40.85558096100005,-73.86383938399997,POINT (-73.86383938399997 40.855580961000044),2020-08-06 04:24:00+00:00,2020,8,04:24:00,Thursday
21661,BROOKLYN,73,True,40.85610189400006,-73.88611707499997,POINT (-73.88611707499997 40.85610189400006),2020-10-28 00:02:00+00:00,2020,10,00:02:00,Wednesday
21662,BROOKLYN,75,False,40.86012444600004,-73.90283020099997,POINT (-73.90283020099997 40.860124446000036),2020-07-07 21:28:00+00:00,2020,7,21:28:00,Tuesday
21663,BROOKLYN,75,False,40.81949793600006,-73.92180321299998,POINT (-73.92180321299998 40.81949793600006),2020-10-12 21:29:00+00:00,2020,10,21:29:00,Monday
21664,MANHATTAN,32,False,40.78673189800003,-73.94113246799998,POINT (-73.94113246799998 40.78673189800003),2020-03-14 21:45:00+00:00,2020,3,21:45:00,Saturday
21665,BROOKLYN,70,False,40.83665251900004,-73.90714329499998,POINT (-73.90714329499998 40.83665251900004),2020-07-24 00:05:00+00:00,2020,7,00:05:00,Friday
21666,BROOKLYN,73,True,40.59603031400008,-73.74302372499993,POINT (-73.74302372499993 40.59603031400008),2020-07-05 05:00:00+00:00,2020,7,05:00:00,Sunday
21667,QUEENS,101,False,40.85518175800007,-73.89710062399996,POINT (-73.89710062399996 40.85518175800007),2020-08-30 02:12:00+00:00,2020,8,02:12:00,Sunday
21668,MANHATTAN,28,True,40.67937174300005,-73.91241336899996,POINT (-73.91241336899996 40.67937174300005),2020-11-04 09:14:00+00:00,2020,11,09:14:00,Wednesday
21669,STATEN ISLAND,120,True,40.65106272200006,-73.92929833799997,POINT (-73.92929833799997 40.65106272200006),2020-03-12 20:46:00+00:00,2020,3,20:46:00,Thursday
21670,BROOKLYN,72,False,40.66228698700007,-73.91077776999998,POINT (-73.91077776999998 40.66228698700007),2020-11-30 17:38:00+00:00,2020,11,17:38:00,Monday
21671,BROOKLYN,73,True,40.86370044700004,-73.90572447299998,POINT (-73.90572447299998 40.86370044700004),2020-10-07 22:41:00+00:00,2020,10,22:41:00,Wednesday
21672,BROOKLYN,61,False,40.88012458500003,-73.90228023499998,POINT (-73.90228023499998 40.88012458500003),2020-05-05 17:29:00+00:00,2020,5,17:29:00,Tuesday
21673,MANHATTAN,23,False,40.67080060200004,-73.87470680099993,POINT (-73.87470680099993 40.67080060200004),2020-04-11 19:48:00+00:00,2020,4,19:48:00,Saturday
21674,BRONX,47,False,40.71082759700005,-73.94463340099996,POINT (-73.94463340099996 40.71082759700005),2020-08-29 20:22:00+00:00,2020,8,20:22:00,Saturday
21675,STATEN ISLAND,121,False,40.74223907000004,-73.95884377599998,POINT (-73.95884377599998 40.74223907000004),2020-11-27 11:40:00+00:00,2020,11,11:40:00,Friday
21676,BRONX,40,False,40.82338729100008,-73.87017045,POINT (-73.87017045 40.82338729100008),2020-12-07 05:50:00+00:00,2020,12,05:50:00,Monday
21677,BRONX,48,False,40.75869476400004,-73.98532469099996,POINT (-73.98532469099996 40.75869476400004),2020-12-09 17:55:00+00:00,2020,12,17:55:00,Wednesday
21678,BRONX,50,False,40.67675342200005,-73.93315390099998,POINT (-73.93315390099998 40.67675342200005),2020-08-27 02:40:00+00:00,2020,8,02:40:00,Thursday
21679,BROOKLYN,66,False,40.57343489500005,-74.10580866699996,POINT (-74.10580866699996 40.57343489500005),2020-12-24 20:40:00+00:00,2020,12,20:40:00,Thursday
21680,BROOKLYN,81,False,40.680845368000064,-73.89558133699995,POINT (-73.89558133699995 40.680845368000064),2020-08-24 00:18:00+00:00,2020,8,00:18:00,Monday
21681,MANHATTAN,23,False,40.81915052700003,-73.93718378399994,POINT (-73.93718378399994 40.81915052700003),2020-07-02 23:03:00+00:00,2020,7,23:03:00,Thursday
21682,BROOKLYN,73,False,40.67897152900008,-73.88773188799998,POINT (-73.88773188799999 40.67897152900008),2020-06-27 01:10:00+00:00,2020,6,01:10:00,Saturday
21683,MANHATTAN,28,False,40.575031251000034,-73.98988266699997,POINT (-73.98988266699997 40.575031251000034),2020-10-31 15:53:00+00:00,2020,10,15:53:00,Saturday
21684,MANHATTAN,30,False,40.88907795500006,-73.86444348399993,POINT (-73.86444348399993 40.88907795500006),2020-06-25 19:58:00+00:00,2020,6,19:58:00,Thursday
21685,BROOKLYN,69,False,40.67564639900007,-73.92718490399994,POINT (-73.92718490399994 40.67564639900007),2020-08-25 19:24:00+00:00,2020,8,19:24:00,Tuesday
21686,BRONX,41,False,40.80504070000006,-73.95682188099995,POINT (-73.95682188099995 40.80504070000006),2020-06-03 16:55:00+00:00,2020,6,16:55:00,Wednesday
21687,STATEN ISLAND,121,True,40.59887464700005,-73.76382298499993,POINT (-73.76382298499993 40.59887464700005),2020-05-11 17:06:00+00:00,2020,5,17:06:00,Monday
21688,BROOKLYN,75,False,40.63036654500007,-73.97371261299998,POINT (-73.97371261299998 40.63036654500007),2020-08-02 05:30:00+00:00,2020,8,05:30:00,Sunday
21689,QUEENS,101,True,40.89922835500005,-73.85365417799993,POINT (-73.85365417799993 40.89922835500005),2020-09-23 17:35:00+00:00,2020,9,17:35:00,Wednesday
21690,BROOKLYN,76,False,40.68807093600003,-73.93456684899996,POINT (-73.93456684899996 40.68807093600003),2020-11-14 20:46:00+00:00,2020,11,20:46:00,Saturday
