,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,time,day_of_week_name
21628,MANHATTAN,25,False,40.83855091,-73.90939937,POINT (-73.90939937399997 40.83855090900005),2020-03-20 20:19:00+00:00,2020,3,20,20:19:00,Friday
21633,MANHATTAN,32,False,40.6449815,-74.0773213,POINT (-74.07732129999994 40.644981504000036),2020-04-25 00:55:00+00:00,2020,4,25,00:55:00,Saturday
21638,QUEENS,110,False,40.67423304,-73.9319992,POINT (-73.93199920199999 40.67423304000005),2020-04-06 15:00:00+00:00,2020,4,6,15:00:00,Monday
21641,QUEENS,115,True,40.70336621,-73.81483668,POINT (-73.81483667599997 40.703366206000055),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
21644,MANHATTAN,32,True,40.81592955,-73.94516736,POINT (-73.94516735699995 40.815929553000046),2020-04-25 00:55:00+00:00,2020,4,25,00:55:00,Saturday
21650,BROOKLYN,79,False,40.65272465,-73.93150216,POINT (-73.93150216299993 40.65272464900005),2020-03-21 23:57:00+00:00,2020,3,21,23:57:00,Saturday
21652,BRONX,47,False,40.64886713,-73.9508219,POINT (-73.95082189999994 40.64886713300007),2020-04-30 23:20:00+00:00,2020,4,30,23:20:00,Thursday
21656,BRONX,50,False,40.6760516,-73.93461109,POINT (-73.93461108799994 40.676051596000036),2020-02-01 05:09:00+00:00,2020,2,1,05:09:00,Saturday
21659,BROOKLYN,73,False,40.80038048,-73.95078943,POINT (-73.95078943299995 40.80038048100005),2020-03-15 07:05:00+00:00,2020,3,15,07:05:00,Sunday
21664,MANHATTAN,32,False,40.7867319,-73.94113247,POINT (-73.94113246799998 40.78673189800003),2020-03-14 21:45:00+00:00,2020,3,14,21:45:00,Saturday
21669,STATEN ISLAND,120,True,40.65106272,-73.92929834,POINT (-73.92929833799997 40.65106272200006),2020-03-12 20:46:00+00:00,2020,3,12,20:46:00,Thursday
21673,MANHATTAN,23,False,40.6708006,-73.8747068,POINT (-73.87470680099993 40.67080060200004),2020-04-11 19:48:00+00:00,2020,4,11,19:48:00,Saturday
21692,BRONX,47,False,40.65843374,-73.90447556,POINT (-73.90447555999998 40.65843374200006),2020-01-25 03:39:00+00:00,2020,1,25,03:39:00,Saturday
21697,QUEENS,104,False,40.87755443,-73.87293947,POINT (-73.87293947099994 40.877554428000046),2020-03-27 19:35:00+00:00,2020,3,27,19:35:00,Friday
21706,STATEN ISLAND,120,False,40.66970365,-73.92250873,POINT (-73.92250873499995 40.66970364700006),2020-02-24 16:55:00+00:00,2020,2,24,16:55:00,Monday
21707,BRONX,48,True,40.62444157,-73.93486338,POINT (-73.93486338199995 40.62444156600003),2020-04-18 00:57:00+00:00,2020,4,18,00:57:00,Saturday
21715,BRONX,46,False,40.84179934,-73.91488483,POINT (-73.91488483099994 40.841799335000076),2020-03-21 01:08:00+00:00,2020,3,21,01:08:00,Saturday
21757,BROOKLYN,75,False,40.85395,-73.9146777,POINT (-73.91467769899998 40.85395000000005),2020-04-20 15:08:00+00:00,2020,4,20,15:08:00,Monday
21759,BROOKLYN,75,False,40.64455468,-73.88769971,POINT (-73.88769970999994 40.64455467700003),2020-04-07 17:05:00+00:00,2020,4,7,17:05:00,Tuesday
21761,BROOKLYN,67,False,40.86413609,-73.91918021,POINT (-73.91918020999998 40.86413608500004),2020-04-29 13:40:00+00:00,2020,4,29,13:40:00,Wednesday
